platform,official_source_links,content_types,communities_categories,how_creators_earn,payout_methods_and_thresholds,fees_or_subscriptions_required,ai_content_policy_and_disclosure,human_verification_kyc,automation_programmatic_publishing_allowed,previously_published_allowed,exclusivity_requirements,contest_challenge_restrictions,builtin_audience_signals,current_creator_activity,formats_topics_in_demand,revenue_potential_hypothesis,time_to_first_revenue_hypothesis,operational_difficulty,compliance_risk,evidence_freshness_date,evidence_tier,overall_score,reason
"Contests (category: Story Unlikely, FanStory, Wattys, no-fee roundups)",UNKNOWN,"Short fiction, essays, poetry",UNKNOWN,Cash prizes,"Prize payment, no threshold. Story Unlikely: $3000/$1000/$750, $250 reprint, <=7000 words",Free-entry contests exist; FanStory 'free with upgraded membership' is contradictory and needs verification,UNKNOWN PER CONTEST - most require original human authorship; MUST verify individually,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Story Unlikely date on record (2026-01-14) is STALE/past; re-verify current cycle,"Not needed - judged, not traffic-based",UNKNOWN,UNKNOWN,Highest Phase-1 upside per unit of work IF rules permit,"Weeks to months (judging cycle), no audience required",Low - submission only,HIGH if AI authorship rules are breached - R3 prohibits misrepresentation,2026-08-16,T3/T4,WITHHELD,Most plausible Phase-1 first-revenue path; conditional entirely on per-contest AI rules
"Per-piece markets (Longreads, Craft, Zizzle, East of the Web, SFWA-qualifying)",UNKNOWN,"Essays, short fiction, flash",UNKNOWN,Per-piece or per-word payment on acceptance,"Longreads from $500/essay, $0.50/word features; Craft $200 fiction/$100 flash; Zizzle $250/$100; East of the Web $0.05/word; SFWA pro minimum $0.08/word",UNKNOWN,UNKNOWN - literary markets commonly prohibit AI; MUST verify per market,UNKNOWN,No - human editorial acceptance required,UNKNOWN,UNKNOWN,UNKNOWN,Not needed,UNKNOWN,UNKNOWN,UNKNOWN,Weeks to months; acceptance-gated,UNKNOWN,HIGH if AI rules breached,2026-08-16,T3/T4,WITHHELD,"Real money, no audience needed, but acceptance-gated and AI rules unverified"
Ko-fi,UNKNOWN,UNKNOWN,UNKNOWN,"Tips, memberships, shop","0% on tips (free plan), 5% otherwise; instant payout via PayPal or Stripe",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None - monetization layer,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-16,T4,WITHHELD,Layer requiring external traffic; not a first-revenue source
Buy Me a Coffee,UNKNOWN,UNKNOWN,UNKNOWN,"Tips, memberships, digital goods",5% platform fee; instant Stripe payouts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-16,T4,WITHHELD,Same as Ko-fi
Patreon,UNKNOWN,UNKNOWN,UNKNOWN,Tiered memberships,8-12% plus payment processing,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Weak discovery; audience must be brought,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-16,T4,WITHHELD,Requires pre-existing audience
Kindle Vella,UNKNOWN,UNKNOWN,UNKNOWN,DEFUNCT,N/A,UNKNOWN,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ZERO - platform closed 2025-02-26 (announced 2024-10-28),UNKNOWN,UNKNOWN,UNKNOWN,2026-08-16,T2/T3,DEAD,Shut down. Still recommended by 2026-dated listicles - evidence of listicle unreliability
Radish Fiction,UNKNOWN,UNKNOWN,UNKNOWN,DEFUNCT,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ZERO - shut down December 2025,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-16,T3,DEAD,Shut down. Still recommended by 2026-dated listicles
Dreame,UNKNOWN,UNKNOWN,UNKNOWN,Coin-unlock,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-16,T3/T4,WITHHELD,Insufficient evidence
GoodNovel,UNKNOWN,UNKNOWN,UNKNOWN,Coin-unlock,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-16,T3/T4,WITHHELD,Insufficient evidence
Laterpress,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-16,T3 (existence only),WITHHELD,Surfaced as Vella-migration destination; nothing verified
Ream Stories,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-16,T3 (existence only),WITHHELD,Surfaced in serial-fiction coverage; nothing verified
HubPages,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,T5,WITHHELD,"Name only, zero evidence retrieved - verify or drop"
NewsBreak creator program,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,T5,WITHHELD,"Name only, may be discontinued - verify existence before further work"
"Freelance marketplaces (Contently, ClearVoice, Verblio)",UNKNOWN,UNKNOWN,UNKNOWN,Client assignments: Contently $500-2000/piece; ClearVoice from $0.50/word; Verblio $0.15-0.40/word,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No - client relationship is human-bound,"No - work-for-hire, client owns output",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Reliable but not an owned content asset,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-16,T4,WITHHELD,Conflicts with M1 asset-reuse strategy and autonomy goal
